average reward: -0.436, success rate: 0.127, fail rate: 0.603, tie rate: 0.271, average step: 1.765, blackjack rate: 0.142
average reward: -0.380, success rate: 0.193, fail rate: 0.579, tie rate: 0.228, average step: 1.386, blackjack rate: 0.125
average reward: -0.306, success rate: 0.233, fail rate: 0.545, tie rate: 0.222, average step: 1.290, blackjack rate: 0.125
average reward: -0.277, success rate: 0.246, fail rate: 0.528, tie rate: 0.226, average step: 1.280, blackjack rate: 0.125
average reward: -0.238, success rate: 0.268, fail rate: 0.511, tie rate: 0.221, average step: 1.241, blackjack rate: 0.125
average reward: -0.202, success rate: 0.325, fail rate: 0.474, tie rate: 0.201, average step: 1.166, blackjack rate: 0.117
average reward: -0.181, success rate: 0.346, fail rate: 0.448, tie rate: 0.206, average step: 1.166, blackjack rate: 0.122
average reward: -0.165, success rate: 0.363, fail rate: 0.439, tie rate: 0.198, average step: 1.123, blackjack rate: 0.118
average reward: -0.158, success rate: 0.373, fail rate: 0.436, tie rate: 0.191, average step: 1.137, blackjack rate: 0.122
average reward: -0.145, success rate: 0.385, fail rate: 0.435, tie rate: 0.181, average step: 1.104, blackjack rate: 0.119
average reward: -0.141, success rate: 0.372, fail rate: 0.441, tie rate: 0.187, average step: 1.116, blackjack rate: 0.126
average reward: -0.139, success rate: 0.360, fail rate: 0.449, tie rate: 0.191, average step: 1.138, blackjack rate: 0.131
average reward: -0.134, success rate: 0.362, fail rate: 0.455, tie rate: 0.183, average step: 1.097, blackjack rate: 0.131
average reward: -0.133, success rate: 0.375, fail rate: 0.457, tie rate: 0.168, average step: 1.063, blackjack rate: 0.119
average reward: -0.124, success rate: 0.371, fail rate: 0.453, tie rate: 0.176, average step: 1.062, blackjack rate: 0.126
average reward: -0.118, success rate: 0.379, fail rate: 0.449, tie rate: 0.172, average step: 1.068, blackjack rate: 0.127
average reward: -0.111, success rate: 0.400, fail rate: 0.441, tie rate: 0.159, average step: 1.056, blackjack rate: 0.120
average reward: -0.108, success rate: 0.401, fail rate: 0.437, tie rate: 0.162, average step: 1.038, blackjack rate: 0.121
average reward: -0.102, success rate: 0.400, fail rate: 0.424, tie rate: 0.176, average step: 1.033, blackjack rate: 0.128
average reward: -0.100, success rate: 0.403, fail rate: 0.429, tie rate: 0.168, average step: 1.019, blackjack rate: 0.121
