average reward: -0.383, success rate: 0.171, fail rate: 0.583, tie rate: 0.246, average step: 1.660, blackjack rate: 0.150
average reward: -0.270, success rate: 0.251, fail rate: 0.536, tie rate: 0.213, average step: 1.379, blackjack rate: 0.134
average reward: -0.183, success rate: 0.299, fail rate: 0.494, tie rate: 0.207, average step: 1.242, blackjack rate: 0.131
average reward: -0.137, success rate: 0.323, fail rate: 0.474, tie rate: 0.204, average step: 1.208, blackjack rate: 0.133
average reward: -0.109, success rate: 0.339, fail rate: 0.461, tie rate: 0.199, average step: 1.158, blackjack rate: 0.131
average reward: -0.086, success rate: 0.387, fail rate: 0.423, tie rate: 0.189, average step: 1.137, blackjack rate: 0.129
average reward: -0.074, success rate: 0.401, fail rate: 0.406, tie rate: 0.192, average step: 1.120, blackjack rate: 0.131
average reward: -0.073, success rate: 0.406, fail rate: 0.417, tie rate: 0.177, average step: 1.065, blackjack rate: 0.126
average reward: -0.074, success rate: 0.410, fail rate: 0.428, tie rate: 0.161, average step: 1.005, blackjack rate: 0.115
average reward: -0.065, success rate: 0.412, fail rate: 0.428, tie rate: 0.160, average step: 1.000, blackjack rate: 0.114
average reward: -0.061, success rate: 0.412, fail rate: 0.432, tie rate: 0.155, average step: 0.989, blackjack rate: 0.110
average reward: -0.060, success rate: 0.406, fail rate: 0.436, tie rate: 0.157, average step: 0.999, blackjack rate: 0.111
average reward: -0.055, success rate: 0.406, fail rate: 0.426, tie rate: 0.168, average step: 0.995, blackjack rate: 0.115
average reward: -0.053, success rate: 0.406, fail rate: 0.420, tie rate: 0.174, average step: 0.976, blackjack rate: 0.119
average reward: -0.054, success rate: 0.399, fail rate: 0.426, tie rate: 0.175, average step: 0.982, blackjack rate: 0.122
average reward: -0.050, success rate: 0.403, fail rate: 0.427, tie rate: 0.169, average step: 0.975, blackjack rate: 0.123
average reward: -0.050, success rate: 0.411, fail rate: 0.432, tie rate: 0.157, average step: 0.963, blackjack rate: 0.117
average reward: -0.053, success rate: 0.395, fail rate: 0.444, tie rate: 0.161, average step: 0.980, blackjack rate: 0.122
average reward: -0.054, success rate: 0.389, fail rate: 0.444, tie rate: 0.167, average step: 0.981, blackjack rate: 0.122
average reward: -0.058, success rate: 0.379, fail rate: 0.452, tie rate: 0.170, average step: 0.997, blackjack rate: 0.122
