average reward: -0.297, success rate: 0.225, fail rate: 0.554, tie rate: 0.221, average step: 1.378, blackjack rate: 0.150
average reward: -0.198, success rate: 0.278, fail rate: 0.506, tie rate: 0.217, average step: 1.249, blackjack rate: 0.143
average reward: -0.171, success rate: 0.302, fail rate: 0.490, tie rate: 0.208, average step: 1.188, blackjack rate: 0.134
average reward: -0.139, success rate: 0.325, fail rate: 0.474, tie rate: 0.201, average step: 1.108, blackjack rate: 0.128
average reward: -0.118, success rate: 0.337, fail rate: 0.462, tie rate: 0.201, average step: 1.080, blackjack rate: 0.124
average reward: -0.110, success rate: 0.374, fail rate: 0.442, tie rate: 0.184, average step: 1.010, blackjack rate: 0.115
average reward: -0.099, success rate: 0.393, fail rate: 0.441, tie rate: 0.166, average step: 0.960, blackjack rate: 0.108
average reward: -0.091, success rate: 0.404, fail rate: 0.437, tie rate: 0.160, average step: 0.944, blackjack rate: 0.108
average reward: -0.079, success rate: 0.411, fail rate: 0.434, tie rate: 0.155, average step: 0.932, blackjack rate: 0.110
average reward: -0.073, success rate: 0.416, fail rate: 0.436, tie rate: 0.148, average step: 0.928, blackjack rate: 0.111
average reward: -0.081, success rate: 0.391, fail rate: 0.443, tie rate: 0.166, average step: 0.966, blackjack rate: 0.121
average reward: -0.073, success rate: 0.390, fail rate: 0.434, tie rate: 0.176, average step: 0.961, blackjack rate: 0.126
average reward: -0.084, success rate: 0.366, fail rate: 0.449, tie rate: 0.184, average step: 0.990, blackjack rate: 0.130
average reward: -0.078, success rate: 0.360, fail rate: 0.449, tie rate: 0.191, average step: 0.992, blackjack rate: 0.130
average reward: -0.076, success rate: 0.361, fail rate: 0.453, tie rate: 0.187, average step: 0.974, blackjack rate: 0.129
average reward: -0.078, success rate: 0.365, fail rate: 0.449, tie rate: 0.186, average step: 0.996, blackjack rate: 0.129
average reward: -0.076, success rate: 0.363, fail rate: 0.452, tie rate: 0.185, average step: 0.987, blackjack rate: 0.127
average reward: -0.075, success rate: 0.387, fail rate: 0.437, tie rate: 0.176, average step: 0.975, blackjack rate: 0.120
average reward: -0.073, success rate: 0.384, fail rate: 0.443, tie rate: 0.173, average step: 0.981, blackjack rate: 0.123
average reward: -0.069, success rate: 0.382, fail rate: 0.436, tie rate: 0.182, average step: 0.984, blackjack rate: 0.127
