average reward: -0.014, success rate: 0.395, fail rate: 0.422, tie rate: 0.183, average step: 0.943, blackjack rate: 0.124
average reward: -0.032, success rate: 0.393, fail rate: 0.430, tie rate: 0.177, average step: 0.920, blackjack rate: 0.122
average reward: -0.037, success rate: 0.387, fail rate: 0.428, tie rate: 0.185, average step: 0.977, blackjack rate: 0.126
average reward: -0.048, success rate: 0.393, fail rate: 0.435, tie rate: 0.172, average step: 0.915, blackjack rate: 0.119
average reward: -0.039, success rate: 0.397, fail rate: 0.430, tie rate: 0.173, average step: 0.902, blackjack rate: 0.120
average reward: -0.025, success rate: 0.400, fail rate: 0.424, tie rate: 0.176, average step: 0.922, blackjack rate: 0.120
average reward: -0.023, success rate: 0.402, fail rate: 0.419, tie rate: 0.179, average step: 0.926, blackjack rate: 0.120
average reward: -0.020, success rate: 0.412, fail rate: 0.418, tie rate: 0.170, average step: 0.902, blackjack rate: 0.114
average reward: -0.020, success rate: 0.414, fail rate: 0.412, tie rate: 0.174, average step: 0.890, blackjack rate: 0.117
average reward: -0.029, success rate: 0.413, fail rate: 0.428, tie rate: 0.159, average step: 0.851, blackjack rate: 0.109
average reward: -0.034, success rate: 0.409, fail rate: 0.438, tie rate: 0.153, average step: 0.854, blackjack rate: 0.105
average reward: -0.028, success rate: 0.410, fail rate: 0.434, tie rate: 0.155, average step: 0.868, blackjack rate: 0.109
average reward: -0.026, success rate: 0.410, fail rate: 0.436, tie rate: 0.154, average step: 0.860, blackjack rate: 0.112
average reward: -0.023, success rate: 0.410, fail rate: 0.431, tie rate: 0.160, average step: 0.868, blackjack rate: 0.113
average reward: -0.032, success rate: 0.390, fail rate: 0.427, tie rate: 0.183, average step: 0.896, blackjack rate: 0.121
average reward: -0.037, success rate: 0.394, fail rate: 0.436, tie rate: 0.170, average step: 0.863, blackjack rate: 0.115
average reward: -0.041, success rate: 0.391, fail rate: 0.450, tie rate: 0.159, average step: 0.852, blackjack rate: 0.106
average reward: -0.045, success rate: 0.387, fail rate: 0.460, tie rate: 0.152, average step: 0.827, blackjack rate: 0.099
average reward: -0.043, success rate: 0.387, fail rate: 0.467, tie rate: 0.146, average step: 0.836, blackjack rate: 0.102
average reward: -0.044, success rate: 0.398, fail rate: 0.461, tie rate: 0.141, average step: 0.850, blackjack rate: 0.104
