average reward: -0.402, success rate: 0.170, fail rate: 0.582, tie rate: 0.248, average step: 1.610, blackjack rate: 0.142
average reward: -0.309, success rate: 0.228, fail rate: 0.546, tie rate: 0.226, average step: 1.433, blackjack rate: 0.133
average reward: -0.230, success rate: 0.289, fail rate: 0.520, tie rate: 0.191, average step: 1.171, blackjack rate: 0.126
average reward: -0.178, success rate: 0.315, fail rate: 0.499, tie rate: 0.186, average step: 1.099, blackjack rate: 0.125
average reward: -0.156, success rate: 0.332, fail rate: 0.489, tie rate: 0.179, average step: 1.022, blackjack rate: 0.120
average reward: -0.155, success rate: 0.360, fail rate: 0.470, tie rate: 0.170, average step: 1.065, blackjack rate: 0.121
average reward: -0.150, success rate: 0.365, fail rate: 0.463, tie rate: 0.172, average step: 1.107, blackjack rate: 0.127
average reward: -0.136, success rate: 0.361, fail rate: 0.455, tie rate: 0.184, average step: 1.108, blackjack rate: 0.131
average reward: -0.117, success rate: 0.360, fail rate: 0.448, tie rate: 0.192, average step: 1.104, blackjack rate: 0.138
average reward: -0.104, success rate: 0.365, fail rate: 0.442, tie rate: 0.193, average step: 1.082, blackjack rate: 0.141
average reward: -0.097, success rate: 0.385, fail rate: 0.432, tie rate: 0.183, average step: 1.051, blackjack rate: 0.132
average reward: -0.091, success rate: 0.399, fail rate: 0.419, tie rate: 0.182, average step: 1.060, blackjack rate: 0.128
average reward: -0.081, success rate: 0.409, fail rate: 0.413, tie rate: 0.178, average step: 1.043, blackjack rate: 0.126
average reward: -0.078, success rate: 0.409, fail rate: 0.418, tie rate: 0.173, average step: 1.040, blackjack rate: 0.119
average reward: -0.077, success rate: 0.400, fail rate: 0.422, tie rate: 0.178, average step: 1.038, blackjack rate: 0.121
average reward: -0.072, success rate: 0.401, fail rate: 0.419, tie rate: 0.180, average step: 1.035, blackjack rate: 0.123
average reward: -0.069, success rate: 0.402, fail rate: 0.419, tie rate: 0.179, average step: 1.040, blackjack rate: 0.125
average reward: -0.071, success rate: 0.394, fail rate: 0.436, tie rate: 0.169, average step: 1.010, blackjack rate: 0.118
average reward: -0.071, success rate: 0.392, fail rate: 0.441, tie rate: 0.167, average step: 1.010, blackjack rate: 0.120
average reward: -0.077, success rate: 0.375, fail rate: 0.451, tie rate: 0.174, average step: 1.022, blackjack rate: 0.120
