average reward: -0.200, success rate: 0.348, fail rate: 0.511, tie rate: 0.141, average step: 0.652, blackjack rate: 0.092
average reward: -0.195, success rate: 0.353, fail rate: 0.513, tie rate: 0.135, average step: 0.669, blackjack rate: 0.089
average reward: -0.176, success rate: 0.350, fail rate: 0.498, tie rate: 0.152, average step: 0.779, blackjack rate: 0.099
average reward: -0.131, success rate: 0.362, fail rate: 0.480, tie rate: 0.158, average step: 0.825, blackjack rate: 0.107
average reward: -0.106, success rate: 0.368, fail rate: 0.468, tie rate: 0.165, average step: 0.868, blackjack rate: 0.112
average reward: -0.097, success rate: 0.381, fail rate: 0.455, tie rate: 0.164, average step: 0.850, blackjack rate: 0.115
average reward: -0.085, success rate: 0.394, fail rate: 0.439, tie rate: 0.167, average step: 0.835, blackjack rate: 0.120
average reward: -0.076, success rate: 0.409, fail rate: 0.431, tie rate: 0.160, average step: 0.832, blackjack rate: 0.117
average reward: -0.079, success rate: 0.412, fail rate: 0.440, tie rate: 0.148, average step: 0.798, blackjack rate: 0.108
average reward: -0.076, success rate: 0.415, fail rate: 0.445, tie rate: 0.140, average step: 0.795, blackjack rate: 0.104
average reward: -0.071, success rate: 0.412, fail rate: 0.442, tie rate: 0.147, average step: 0.808, blackjack rate: 0.109
average reward: -0.067, success rate: 0.413, fail rate: 0.444, tie rate: 0.143, average step: 0.796, blackjack rate: 0.108
average reward: -0.064, success rate: 0.410, fail rate: 0.444, tie rate: 0.145, average step: 0.801, blackjack rate: 0.109
average reward: -0.065, success rate: 0.410, fail rate: 0.445, tie rate: 0.145, average step: 0.785, blackjack rate: 0.112
average reward: -0.064, success rate: 0.413, fail rate: 0.446, tie rate: 0.141, average step: 0.770, blackjack rate: 0.111
average reward: -0.062, success rate: 0.411, fail rate: 0.445, tie rate: 0.144, average step: 0.788, blackjack rate: 0.112
average reward: -0.062, success rate: 0.396, fail rate: 0.444, tie rate: 0.160, average step: 0.812, blackjack rate: 0.117
average reward: -0.063, success rate: 0.400, fail rate: 0.450, tie rate: 0.150, average step: 0.799, blackjack rate: 0.109
average reward: -0.061, success rate: 0.397, fail rate: 0.441, tie rate: 0.163, average step: 0.812, blackjack rate: 0.117
average reward: -0.059, success rate: 0.391, fail rate: 0.438, tie rate: 0.171, average step: 0.821, blackjack rate: 0.120
