average reward: -0.437, success rate: 0.135, fail rate: 0.599, tie rate: 0.266, average step: 1.724, blackjack rate: 0.148
average reward: -0.326, success rate: 0.246, fail rate: 0.571, tie rate: 0.183, average step: 1.161, blackjack rate: 0.116
average reward: -0.270, success rate: 0.272, fail rate: 0.547, tie rate: 0.181, average step: 1.177, blackjack rate: 0.123
average reward: -0.219, success rate: 0.302, fail rate: 0.521, tie rate: 0.177, average step: 1.106, blackjack rate: 0.121
average reward: -0.191, success rate: 0.325, fail rate: 0.510, tie rate: 0.165, average step: 1.009, blackjack rate: 0.117
average reward: -0.154, success rate: 0.379, fail rate: 0.472, tie rate: 0.149, average step: 1.021, blackjack rate: 0.116
average reward: -0.143, success rate: 0.390, fail rate: 0.454, tie rate: 0.156, average step: 0.977, blackjack rate: 0.119
average reward: -0.130, success rate: 0.408, fail rate: 0.442, tie rate: 0.150, average step: 0.944, blackjack rate: 0.113
average reward: -0.121, success rate: 0.408, fail rate: 0.440, tie rate: 0.152, average step: 0.936, blackjack rate: 0.114
average reward: -0.132, success rate: 0.378, fail rate: 0.450, tie rate: 0.172, average step: 0.984, blackjack rate: 0.119
average reward: -0.128, success rate: 0.363, fail rate: 0.459, tie rate: 0.178, average step: 1.008, blackjack rate: 0.120
average reward: -0.116, success rate: 0.364, fail rate: 0.450, tie rate: 0.186, average step: 1.007, blackjack rate: 0.126
average reward: -0.110, success rate: 0.363, fail rate: 0.450, tie rate: 0.187, average step: 0.988, blackjack rate: 0.127
average reward: -0.105, success rate: 0.368, fail rate: 0.448, tie rate: 0.184, average step: 0.977, blackjack rate: 0.125
average reward: -0.095, success rate: 0.401, fail rate: 0.428, tie rate: 0.171, average step: 0.970, blackjack rate: 0.126
average reward: -0.091, success rate: 0.415, fail rate: 0.422, tie rate: 0.163, average step: 0.961, blackjack rate: 0.119
average reward: -0.089, success rate: 0.414, fail rate: 0.429, tie rate: 0.157, average step: 0.948, blackjack rate: 0.114
average reward: -0.087, success rate: 0.412, fail rate: 0.431, tie rate: 0.156, average step: 0.937, blackjack rate: 0.114
average reward: -0.084, success rate: 0.415, fail rate: 0.431, tie rate: 0.153, average step: 0.929, blackjack rate: 0.112
average reward: -0.083, success rate: 0.402, fail rate: 0.437, tie rate: 0.161, average step: 0.943, blackjack rate: 0.114
