average reward: -0.156, success rate: 0.340, fail rate: 0.499, tie rate: 0.161, average step: 1.026, blackjack rate: 0.118
average reward: -0.115, success rate: 0.359, fail rate: 0.479, tie rate: 0.162, average step: 0.967, blackjack rate: 0.118
average reward: -0.095, success rate: 0.370, fail rate: 0.472, tie rate: 0.158, average step: 0.965, blackjack rate: 0.121
average reward: -0.076, success rate: 0.374, fail rate: 0.461, tie rate: 0.165, average step: 0.999, blackjack rate: 0.126
average reward: -0.068, success rate: 0.385, fail rate: 0.458, tie rate: 0.157, average step: 0.941, blackjack rate: 0.121
average reward: -0.071, success rate: 0.386, fail rate: 0.450, tie rate: 0.164, average step: 0.992, blackjack rate: 0.127
average reward: -0.059, success rate: 0.395, fail rate: 0.440, tie rate: 0.165, average step: 0.978, blackjack rate: 0.126
average reward: -0.051, success rate: 0.399, fail rate: 0.431, tie rate: 0.170, average step: 0.972, blackjack rate: 0.126
average reward: -0.046, success rate: 0.401, fail rate: 0.428, tie rate: 0.171, average step: 0.971, blackjack rate: 0.126
average reward: -0.042, success rate: 0.394, fail rate: 0.421, tie rate: 0.184, average step: 0.982, blackjack rate: 0.134
average reward: -0.042, success rate: 0.399, fail rate: 0.415, tie rate: 0.186, average step: 0.999, blackjack rate: 0.132
average reward: -0.041, success rate: 0.391, fail rate: 0.420, tie rate: 0.190, average step: 1.011, blackjack rate: 0.136
average reward: -0.038, success rate: 0.392, fail rate: 0.422, tie rate: 0.186, average step: 0.993, blackjack rate: 0.134
average reward: -0.037, success rate: 0.392, fail rate: 0.425, tie rate: 0.183, average step: 0.992, blackjack rate: 0.132
average reward: -0.035, success rate: 0.393, fail rate: 0.426, tie rate: 0.181, average step: 0.999, blackjack rate: 0.130
average reward: -0.037, success rate: 0.402, fail rate: 0.432, tie rate: 0.166, average step: 0.980, blackjack rate: 0.123
average reward: -0.040, success rate: 0.408, fail rate: 0.438, tie rate: 0.154, average step: 0.959, blackjack rate: 0.115
average reward: -0.043, success rate: 0.409, fail rate: 0.450, tie rate: 0.142, average step: 0.926, blackjack rate: 0.108
average reward: -0.042, success rate: 0.406, fail rate: 0.449, tie rate: 0.145, average step: 0.932, blackjack rate: 0.109
average reward: -0.045, success rate: 0.390, fail rate: 0.460, tie rate: 0.150, average step: 0.954, blackjack rate: 0.116
