average reward: -0.232, success rate: 0.309, fail rate: 0.516, tie rate: 0.175, average step: 0.976, blackjack rate: 0.107
average reward: -0.132, success rate: 0.355, fail rate: 0.476, tie rate: 0.169, average step: 0.953, blackjack rate: 0.114
average reward: -0.097, success rate: 0.375, fail rate: 0.465, tie rate: 0.160, average step: 0.905, blackjack rate: 0.114
average reward: -0.064, success rate: 0.387, fail rate: 0.448, tie rate: 0.165, average step: 0.902, blackjack rate: 0.118
average reward: -0.059, success rate: 0.388, fail rate: 0.444, tie rate: 0.168, average step: 0.903, blackjack rate: 0.118
average reward: -0.050, success rate: 0.409, fail rate: 0.424, tie rate: 0.168, average step: 0.888, blackjack rate: 0.121
average reward: -0.052, success rate: 0.411, fail rate: 0.428, tie rate: 0.161, average step: 0.861, blackjack rate: 0.118
average reward: -0.047, success rate: 0.411, fail rate: 0.426, tie rate: 0.163, average step: 0.846, blackjack rate: 0.118
average reward: -0.060, success rate: 0.406, fail rate: 0.449, tie rate: 0.144, average step: 0.790, blackjack rate: 0.106
average reward: -0.057, success rate: 0.409, fail rate: 0.450, tie rate: 0.141, average step: 0.800, blackjack rate: 0.107
average reward: -0.053, success rate: 0.404, fail rate: 0.449, tie rate: 0.147, average step: 0.827, blackjack rate: 0.109
average reward: -0.045, success rate: 0.410, fail rate: 0.441, tie rate: 0.148, average step: 0.817, blackjack rate: 0.111
average reward: -0.046, success rate: 0.408, fail rate: 0.443, tie rate: 0.149, average step: 0.816, blackjack rate: 0.109
average reward: -0.046, success rate: 0.406, fail rate: 0.425, tie rate: 0.169, average step: 0.831, blackjack rate: 0.120
average reward: -0.041, success rate: 0.411, fail rate: 0.423, tie rate: 0.166, average step: 0.827, blackjack rate: 0.120
average reward: -0.039, success rate: 0.419, fail rate: 0.426, tie rate: 0.155, average step: 0.822, blackjack rate: 0.114
average reward: -0.044, success rate: 0.413, fail rate: 0.441, tie rate: 0.145, average step: 0.798, blackjack rate: 0.109
