average reward: -0.124, success rate: 0.323, fail rate: 0.464, tie rate: 0.213, average step: 1.192, blackjack rate: 0.139
average reward: -0.078, success rate: 0.371, fail rate: 0.445, tie rate: 0.184, average step: 0.989, blackjack rate: 0.120
average reward: -0.052, success rate: 0.385, fail rate: 0.434, tie rate: 0.181, average step: 0.970, blackjack rate: 0.121
average reward: -0.045, success rate: 0.391, fail rate: 0.431, tie rate: 0.179, average step: 0.950, blackjack rate: 0.117
average reward: -0.039, success rate: 0.394, fail rate: 0.430, tie rate: 0.177, average step: 0.932, blackjack rate: 0.117
average reward: -0.043, success rate: 0.408, fail rate: 0.425, tie rate: 0.167, average step: 0.911, blackjack rate: 0.111
average reward: -0.040, success rate: 0.405, fail rate: 0.424, tie rate: 0.171, average step: 0.922, blackjack rate: 0.113
average reward: -0.043, success rate: 0.393, fail rate: 0.430, tie rate: 0.177, average step: 0.954, blackjack rate: 0.116
average reward: -0.041, success rate: 0.394, fail rate: 0.431, tie rate: 0.174, average step: 0.943, blackjack rate: 0.117
average reward: -0.035, success rate: 0.399, fail rate: 0.430, tie rate: 0.171, average step: 0.928, blackjack rate: 0.118
average reward: -0.038, success rate: 0.391, fail rate: 0.430, tie rate: 0.179, average step: 0.950, blackjack rate: 0.124
average reward: -0.040, success rate: 0.381, fail rate: 0.433, tie rate: 0.187, average step: 0.971, blackjack rate: 0.131
average reward: -0.039, success rate: 0.393, fail rate: 0.430, tie rate: 0.177, average step: 0.955, blackjack rate: 0.124
average reward: -0.044, success rate: 0.391, fail rate: 0.442, tie rate: 0.167, average step: 0.924, blackjack rate: 0.121
average reward: -0.044, success rate: 0.389, fail rate: 0.448, tie rate: 0.164, average step: 0.913, blackjack rate: 0.118
average reward: -0.041, success rate: 0.397, fail rate: 0.441, tie rate: 0.162, average step: 0.917, blackjack rate: 0.117
average reward: -0.039, success rate: 0.410, fail rate: 0.439, tie rate: 0.151, average step: 0.910, blackjack rate: 0.112
average reward: -0.041, success rate: 0.396, fail rate: 0.442, tie rate: 0.162, average step: 0.930, blackjack rate: 0.121
average reward: -0.050, success rate: 0.369, fail rate: 0.446, tie rate: 0.185, average step: 0.957, blackjack rate: 0.132
average reward: -0.052, success rate: 0.363, fail rate: 0.449, tie rate: 0.188, average step: 0.949, blackjack rate: 0.133
