average reward: -0.078, success rate: 0.353, fail rate: 0.445, tie rate: 0.202, average step: 1.176, blackjack rate: 0.137
average reward: -0.065, success rate: 0.374, fail rate: 0.442, tie rate: 0.184, average step: 1.031, blackjack rate: 0.125
average reward: -0.047, success rate: 0.386, fail rate: 0.435, tie rate: 0.179, average step: 0.969, blackjack rate: 0.119
average reward: -0.036, success rate: 0.390, fail rate: 0.429, tie rate: 0.182, average step: 0.973, blackjack rate: 0.122
average reward: -0.030, success rate: 0.390, fail rate: 0.426, tie rate: 0.185, average step: 1.007, blackjack rate: 0.125
average reward: -0.030, success rate: 0.401, fail rate: 0.421, tie rate: 0.178, average step: 0.973, blackjack rate: 0.120
average reward: -0.031, success rate: 0.398, fail rate: 0.420, tie rate: 0.182, average step: 0.986, blackjack rate: 0.124
average reward: -0.030, success rate: 0.395, fail rate: 0.419, tie rate: 0.186, average step: 0.993, blackjack rate: 0.129
average reward: -0.029, success rate: 0.399, fail rate: 0.424, tie rate: 0.177, average step: 0.967, blackjack rate: 0.126
average reward: -0.027, success rate: 0.408, fail rate: 0.429, tie rate: 0.163, average step: 0.934, blackjack rate: 0.119
average reward: -0.049, success rate: 0.376, fail rate: 0.450, tie rate: 0.174, average step: 0.983, blackjack rate: 0.125
average reward: -0.047, success rate: 0.383, fail rate: 0.452, tie rate: 0.165, average step: 0.967, blackjack rate: 0.121
average reward: -0.042, success rate: 0.387, fail rate: 0.450, tie rate: 0.164, average step: 0.970, blackjack rate: 0.121
average reward: -0.039, success rate: 0.380, fail rate: 0.447, tie rate: 0.173, average step: 0.979, blackjack rate: 0.127
average reward: -0.041, success rate: 0.374, fail rate: 0.447, tie rate: 0.179, average step: 0.968, blackjack rate: 0.125
average reward: -0.043, success rate: 0.407, fail rate: 0.432, tie rate: 0.161, average step: 0.953, blackjack rate: 0.118
average reward: -0.041, success rate: 0.406, fail rate: 0.430, tie rate: 0.164, average step: 0.947, blackjack rate: 0.118
average reward: -0.039, success rate: 0.407, fail rate: 0.430, tie rate: 0.163, average step: 0.949, blackjack rate: 0.119
average reward: -0.039, success rate: 0.410, fail rate: 0.437, tie rate: 0.153, average step: 0.938, blackjack rate: 0.112
average reward: -0.040, success rate: 0.408, fail rate: 0.437, tie rate: 0.154, average step: 0.934, blackjack rate: 0.116
